year,process_index,process_name,gwp_contribution,coef_gwp,s
2054,358,"Electricity, coal (life cycle)",239693708040.90668,1000.9430000000001,239467889.82080564
2054,649,"Petroleum refining, at refinery",116381449473.33301,0.011409594630995907,10200314142376.717
2055,227,"Heat, Natural Gas",431742300374.91754,0.0602,7171799009550.126
2055,522,Plastic Incineration CO2 to the atmosphere,312120333362.3277,1.0,312120333362.3277
2055,541,Steam Cracker CO2 to the atmosphere,304529293734.4,1.0,304529293734.4
2055,358,"Electricity, coal (life cycle)",235647762530.2579,1000.9430000000001,235425756.04230997
2055,649,"Petroleum refining, at refinery",119804433281.37224,0.011409594630995907,10500323381858.387
2056,227,"Heat, Natural Gas",444528534599.56635,0.0602,7384194926903.096
2056,522,Plastic Incineration CO2 to the atmosphere,321038057172.67993,1.0,321038057172.67993
2056,541,Steam Cracker CO2 to the atmosphere,313230130698.24,1.0,313230130698.24
2056,358,"Electricity, coal (life cycle)",232562169513.92072,1000.9430000000001,232343069.9989117
2056,649,"Petroleum refining, at refinery",122048035872.46175,0.011409594630995907,10696965126254.32
2057,227,"Heat, Natural Gas",457339809931.3387,0.0602,7597006809490.676
2057,522,Plastic Incineration CO2 to the atmosphere,329955780983.03217,1.0,329955780983.03217
2057,541,Steam Cracker CO2 to the atmosphere,321930967662.0801,1.0,321930967662.0801
2057,358,"Electricity, coal (life cycle)",228937716535.70648,1000.9430000000001,228722031.65985122
2057,649,"Petroleum refining, at refinery",124226117284.8318,0.011409594630995907,10887864232034.377
2058,227,"Heat, Natural Gas",469700345334.8854,0.0602,7802331317855.239
2058,522,Plastic Incineration CO2 to the atmosphere,338873504793.3844,1.0,338873504793.3844
2058,541,Steam Cracker CO2 to the atmosphere,330631804625.92004,1.0,330631804625.92004
2058,358,"Electricity, coal (life cycle)",224828675117.29077,1000.9430000000001,224616861.41697454
2058,649,"Petroleum refining, at refinery",127583579914.15155,0.011409594630995907,11182130832900.168
2059,227,"Heat, Natural Gas",482549182327.3429,0.0602,8015767148294.733
2059,522,Plastic Incineration CO2 to the atmosphere,347791228603.7366,1.0,347791228603.7366
2059,541,Steam Cracker CO2 to the atmosphere,339332641589.76,1.0,339332641589.76
2059,358,"Electricity, coal (life cycle)",220122002300.60815,1000.9430000000001,219914622.8112971
2059,649,"Petroleum refining, at refinery",129663379558.4425,0.011409594630995907,11364415980756.418
2060,227,"Heat, Natural Gas",494922238284.4572,0.0602,8221299639276.698
