year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2074,522,Plastic Incineration CO2 to the atmosphere,413782384800.3429,413782384800.3429,1.0,413782384800.3429
2074,541,Steam Cracker CO2 to the atmosphere,403718835122.176,403718835122.176,1.0,403718835122.176
2074,649,"Petroleum refining, at refinery",140585352537.53027,140585352537.53027,0.011409594630995907,12321678121290.014
2075,543,"Forest residue, processed and loaded, at landing system",-2428017673600.0547,2428017673600.0547,-1991.0312025349442,1219477459.9758894
2075,227,"Heat, Natural Gas",583708388906.0623,583708388906.0623,0.0602,9696152639635.586
2075,522,Plastic Incineration CO2 to the atmosphere,416903588133.9663,416903588133.9663,1.0,416903588133.9663
2075,541,Steam Cracker CO2 to the atmosphere,406764128059.51996,406764128059.51996,1.0,406764128059.51996
2075,649,"Petroleum refining, at refinery",141645802395.03317,141645802395.03317,0.011409594630995907,12414621814015.26
2076,543,"Forest residue, processed and loaded, at landing system",-2470767490777.751,2470767490777.751,-2011.0312025349442,1228607237.75111
2076,227,"Heat, Natural Gas",588078398234.7703,588078398234.7703,0.0602,9768744156723.76
2076,522,Plastic Incineration CO2 to the atmosphere,420024791467.58954,420024791467.58954,1.0,420024791467.58954
2076,541,Steam Cracker CO2 to the atmosphere,409809420996.86395,409809420996.86395,1.0,409809420996.86395
2076,649,"Petroleum refining, at refinery",142706252252.5361,142706252252.5361,0.011409594630995907,12507565506740.508
2077,543,"Forest residue, processed and loaded, at landing system",-2513882499066.4565,2513882499066.4565,-2031.0312025349442,1237737015.5263307
2077,227,"Heat, Natural Gas",592448407563.479,592448407563.479,0.0602,9841335673811.943
2077,522,Plastic Incineration CO2 to the atmosphere,423145994801.21277,423145994801.21277,1.0,423145994801.21277
2077,541,Steam Cracker CO2 to the atmosphere,412854713934.208,412854713934.208,1.0,412854713934.208
