index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
957,true,9a5a635a-43ae-3f05-914d-04d1dfb24a70,"Transformation, to forest",Ecosystem Services,m2,product,,,
958,false,dca95a09-d0c2-3d62-ae3c-9e47d1acbf85,Chloromethane,Elementary flows/emission/water/fresh water body,kg,elementary,,,
959,false,7e4c974f-9fad-31ca-bcd2-a123eae61d53,Carbonate,Elementary flows/emission/water/fresh water body,kg,elementary,,,
960,false,735d1149-bcb1-32ff-820a-a957073d0288,Deltamethrin,Elementary flows/emission/air,kg,elementary,,,
961,false,34b07e52-3833-3665-aeec-01aed3f78362,Acenaphthylene,Elementary flows/emission/air,kg,elementary,,,
962,true,8368dead-a6d5-3e7f-b1e6-38c0d100260b,Methane,Elementary flows/resource/air,kg,elementary,,,
963,false,a3a553df-aec1-3023-b702-1200110f262a,Protactinium-234,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
964,false,9ed18cf2-2cd3-3927-90f2-b97ef882082e,Curium-244,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
965,false,95cf40b7-7fb1-35c5-b6e1-c764044157cf,Iodine-131,Elementary flows/emission/air,kBq,elementary,,,
966,false,8929a2da-d0d4-3d43-a55a-af101126dcbf,Nitrogen,Elementary flows/emission/water/saline water body/ocean,kg,elementary,,,
967,false,dac0461e-a084-3b29-b199-73620729d001,Zinc,Elementary flows/emission/ground/human-dominated/industrial,kg,elementary,,,
968,false,3c29f66a-2dd8-3f9b-a05c-c8cb3d93f0f1,HFC-143a,Elementary flows/emission/air,kg,elementary,,,
969,false,5f8b336e-8505-358e-9c79-787ded52a418,Sulfide,Elementary flows/emission/water/fresh water body,kg,elementary,,,
970,false,1a2d8f9d-b4d8-3f8f-a75b-d6d5d7bbeecb,Hydroxide,Elementary flows/emission/water/fresh water body,kg,elementary,,,
971,false,84df495a-c44e-36cf-9976-6e1f9dcb75d1,Cesium-137,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
972,true,6438548e-77ef-35c2-97d9-8471835bcd8f,Land use,Elementary flows/resource/ground,m2*a,elementary,,,
973,false,e6877d29-bd39-333a-9e7f-8ed43c42ffeb,Glyphosate,Elementary flows/emission/air,kg,elementary,,,
974,false,69bc8b47-09b5-3a09-b7f4-3e4d2925ce5a,Styrene,Elementary flows/emission/air,kg,elementary,,,
975,false,f1d40128-b11f-3d4a-9378-74b7ea21f983,Cobalt-60,Elementary flows/emission/water/saline water body/ocean,kBq,elementary,,,
976,false,b5c72fb3-6445-33b7-aec4-ba41e30b8d14,Vinyl chloride,Elementary flows/emission/air,kg,elementary,,,
977,false,f7a95b4d-e51b-37af-be53-4e5d991b007c,Toluene,Elementary flows/emission/water/fresh water body,kg,elementary,,,
978,false,8bcf9038-b8de-3fe9-a497-7df9f4d2e3d4,Antimony-122,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
979,true,b44dd5be-1bac-3696-9bb3-0dd49fe301f6,"Transformation, to urban, discontinuously built",Ecosystem Services,m2,product,,,
980,false,7955b6e2-3ae6-315c-94f1-028d7faada34,Hexane,Elementary flows/emission/air,kg,elementary,,,
981,false,0f35d4bb-17b8-3dc8-a896-2f0ff33d7213,Chlorate,Elementary flows/emission/water/fresh water body,kg,elementary,,,
982,false,19b09ba7-5f59-3d27-868f-f668133dfa58,Hydrofluoric acid,Elementary flows/emission/water/fresh water body,kg,elementary,,,
983,false,4e4f5897-255d-3c10-97aa-ed9bcce888d3,Propylene glycol 1-methyl ether,Elementary flows/emission/air,kg,elementary,,,
984,false,67fc25e9-c934-3213-9c88-87e045a47114,3-Methylpentane,Elementary flows/emission/air,kg,elementary,,,
985,false,db3c35b3-4b5a-38b3-9d81-8ac658c741c8,Arsenic(V),Elementary flows/emission/water/fresh water body,kg,elementary,,,
986,false,544cdc14-1535-3dd0-bcd7-3e88c0cb6395,"Particulate matter, > 10μm",Elementary flows/emission/water/fresh water body,kg,elementary,,,
987,false,0b2ad544-7f5a-3208-8a4e-32278a844b9e,Atrazine,Elementary flows/emission/air,kg,elementary,,,
988,false,b064b755-d06f-3fb1-b838-a3fe076d37e1,Iron,Elementary flows/emission/ground/human-dominated/industrial,kg,elementary,,,
989,true,80a0d183-7b74-4497-95f5-8bf25681c32e,"Transformation, from grassland",Ecosystem Services,m2,product,,,
990,false,0c6204ba-3fc3-3205-a406-50b85be5dc72,Methanol,Elementary flows/emission/water/fresh water body,kg,elementary,,,
991,false,20f5a08e-ef88-35d4-a0f9-69ca3de83c61,Tellurium-123m,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
992,false,99c5e585-34aa-31a6-afe9-d44a14b9e27f,Dimethylamine,Elementary flows/emission/air,kg,elementary,,,
993,false,05869492-3217-31fe-8e78-957f50e824aa,Fluoride,Elementary flows/emission/water/fresh water body,kg,elementary,,,
994,false,e436ce9e-15f5-3e8e-9d08-c4f48a7153a0,Cadmium,Elementary flows/emission/water/fresh water body,kg,elementary,,,
995,false,9652dd80-c99b-3cfe-8168-51a979c27fbe,Molybdenum,Elementary flows/emission/water/fresh water body,kg,elementary,,,
996,false,299354d4-a6a3-3b8a-8c44-0aa607cad9cf,Fenvalerate,Elementary flows/emission/air,kg,elementary,,,
